path,category
sorted_images/Mégots/< 10 mégots/1697369221460-user.jpg,Mégots/< 10 mégots
sorted_images/Plastique/Emballage plastique/1691218391156-image1691218371215.jpg,Plastique/Emballage plastique
sorted_images/Plastique/Autre déchet plastique/1690191483507-user.jpg,Plastique/Autre déchet plastique
sorted_images/Plastique/Bouteille en plastique/1693058837762-image1693058777370.jpg,Plastique/Bouteille en plastique
sorted_images/Métaux/Canette/1690359696467-user.jpg,Métaux/Canette
sorted_images/Plastique/Emballage plastique/1697517616290-image1697517610645.jpg,Plastique/Emballage plastique
sorted_images/Textile/Masque/1692776412399-user.jpg,Textile/Masque
sorted_images/Mégots/Mégots/1696342731288-user.jpg,Mégots/Mégots
sorted_images/Métaux/Canette/1698480177549-image1698480134146.jpg,Métaux/Canette
sorted_images/Plastique/Polystyrène/1694957177194-image1694957180175.jpg,Plastique/Polystyrène
sorted_images/Plastique/Bouteille en plastique/1696435740148-image1696435713822.jpg,Plastique/Bouteille en plastique
sorted_images/Verre/Bouteille en verre/1698337941007-image1698337965429.jpg,Verre/Bouteille en verre
sorted_images/Mégots/< 10 mégots/1695378366826-image1695374885123.jpg,Mégots/< 10 mégots
sorted_images/Plastique/Bouteille en plastique/1695310335010-image1695310328613.jpg,Plastique/Bouteille en plastique
sorted_images/Plastique/Emballage plastique/1692115924732-image1692110085446.jpg,Plastique/Emballage plastique
sorted_images/Métaux/Autre déchet métaux/1690012267401-image1690012281112.jpg,Métaux/Autre déchet métaux
sorted_images/Plastique/Autre déchet plastique/1695935196673-user.jpg,Plastique/Autre déchet plastique
sorted_images/Papier ou Carton/Autre déchet papier/carton/1691490871017-user.jpg,Autre déchet papier/carton
sorted_images/Papier ou Carton/Journaux/1694157063275-user.jpg,Papier ou Carton/Journaux
sorted_images/Plastique/Bouteille en plastique/1693811866939-image1693811818263.jpg,Plastique/Bouteille en plastique
sorted_images/Papier ou Carton/Autre déchet papier/carton/1693056304708-image1693056346124.jpg,Autre déchet papier/carton
sorted_images/Métaux/Canette/1692166469755-image1692166478596.jpg,Métaux/Canette
sorted_images/Plastique/Autre déchet plastique/1696311538363-user.jpg,Plastique/Autre déchet plastique
sorted_images/Plastique/Polystyrène/1695457673243-image1695457659607.jpg,Plastique/Polystyrène
sorted_images/Papier ou Carton/Carton/1698132693198-user.jpg,Papier ou Carton/Carton
sorted_images/Plastique/Bouchon en plastique/1693127741381-image1693127768055.jpg,Plastique/Bouchon en plastique
sorted_images/Plastique/Autre déchet plastique/1690310125119-user.jpg,Plastique/Autre déchet plastique
sorted_images/Plastique/Autre déchet plastique/1692781379739-image1692781407949.jpg,Plastique/Autre déchet plastique
sorted_images/Mégots/Mégots/1696430684540-image1696430685637.jpg,Mégots/Mégots
sorted_images/Verre/< 10 morceaux de verre/1694103543938-user.jpg,Verre/< 10 morceaux de verre
sorted_images/Métaux/Canette/1698390921579-user.jpg,Métaux/Canette
sorted_images/Papier ou Carton/Carton/1696773273937-user.jpg,Papier ou Carton/Carton
sorted_images/Verre/Bouteille en verre/1690992309891-user.jpg,Verre/Bouteille en verre
sorted_images/Plastique/Bouchon en plastique/1697884628463-user.jpg,Plastique/Bouchon en plastique
sorted_images/Métaux/Canette/1692441370003-user.jpg,Métaux/Canette
sorted_images/Papier ou Carton/Autre déchet papier/carton/1692451080652-image1692451102498.jpg,Autre déchet papier/carton
sorted_images/Plastique/Bouteille en plastique/1691748467950-image1691748481049.jpg,Plastique/Bouteille en plastique
sorted_images/Papier ou Carton/Ticket/1693386925793-image1693386495930.jpg,Papier ou Carton/Ticket
sorted_images/Plastique/Emballage plastique/1690055128201-image1690055154143.jpg,Plastique/Emballage plastique
sorted_images/Papier ou Carton/Récipient liquide/1691654358747-image1691654356681.jpg,Papier ou Carton/Récipient liquide
sorted_images/Textile/Masque/1696153838859-image1696153847425.jpg,Textile/Masque
sorted_images/Papier ou Carton/Autre déchet papier/carton/1697719554605-image1697719559039.jpg,Autre déchet papier/carton
sorted_images/Métaux/Autre déchet métaux/1694873615554-image1694873596829.jpg,Métaux/Autre déchet métaux
sorted_images/Mégots/Mégots/1693058082485-image1693058121860.jpg,Mégots/Mégots
sorted_images/Plastique/Bouteille en plastique/1693127712168-image1693127723410.jpg,Plastique/Bouteille en plastique
sorted_images/Mégots/~ 25 mégots/1690453204291-image1690453166181.jpg,Mégots/~ 25 mégots
sorted_images/Métaux/Pile/1690287959249-image1690287948383.jpg,Métaux/Pile
sorted_images/Métaux/Canette/1694796839421-user.jpg,Métaux/Canette
sorted_images/Plastique/Autre déchet plastique/1696821987497-user.jpg,Plastique/Autre déchet plastique
sorted_images/Plastique/Emballage plastique/1697400701604-user.jpg,Plastique/Emballage plastique
sorted_images/Plastique/Emballage plastique/1694968948351-user.jpg,Plastique/Emballage plastique
sorted_images/Métaux/Canette/1691409871763-image1691409845164.jpg,Métaux/Canette
sorted_images/Plastique/Autre déchet plastique/1691224400553-image1691224422360.jpg,Plastique/Autre déchet plastique
sorted_images/Plastique/Bouteille en plastique/1694867409797-image1694867415448.jpg,Plastique/Bouteille en plastique
sorted_images/Papier ou Carton/Carton/1693661615186-image1693661554658.jpg,Papier ou Carton/Carton
sorted_images/Plastique/Emballage plastique/1691575849202-user.jpg,Plastique/Emballage plastique
sorted_images/Plastique/Sac en plastique/1697161237790-user.jpg,Plastique/Sac en plastique
sorted_images/Verre/< 10 morceaux de verre/1693074289340-image1693074321195.jpg,Verre/< 10 morceaux de verre
sorted_images/Métaux/Autre déchet métaux/1698246738605-image1698246743183.jpg,Métaux/Autre déchet métaux
sorted_images/Papier ou Carton/Autre déchet papier/carton/1692454320420-image1692454338708.jpg,Autre déchet papier/carton
sorted_images/Verre/Bouteille en verre/1690289064155-image1690289090397.jpg,Verre/Bouteille en verre
sorted_images/Verre/< 10 morceaux de verre/1692181190858-image1692181219772.jpg,Verre/< 10 morceaux de verre
sorted_images/Plastique/Autre déchet plastique/1691242407306-image1691242419205.jpg,Plastique/Autre déchet plastique
sorted_images/Métaux/Canette/1697816033493-image1697816049811.jpg,Métaux/Canette
sorted_images/Métaux/Autre déchet métaux/1690525855478-image1690525869136.jpg,Métaux/Autre déchet métaux
sorted_images/Métaux/Canette/1696073130598-user.jpg,Métaux/Canette
sorted_images/Métaux/Canette/1689694223511-user.jpg,Métaux/Canette
sorted_images/Mégots/Mégots/1692114305523-image1692114300577.jpg,Mégots/Mégots
sorted_images/Plastique/Bouteille en plastique/1694255808833-image1694255770241.jpg,Plastique/Bouteille en plastique
sorted_images/Plastique/Sac en plastique/1691518277657-image1691518309399.jpg,Plastique/Sac en plastique
sorted_images/Métaux/Autre déchet métaux/1693721300620-user.jpg,Métaux/Autre déchet métaux
sorted_images/Métaux/Canette/1696091611214-image1696091615713.jpg,Métaux/Canette
sorted_images/Textile/Corde/1697645306533-image1697645285957.jpg,Textile/Corde
sorted_images/Plastique/Bouteille en plastique/1694366220532-user.jpg,Plastique/Bouteille en plastique
sorted_images/Mégots/~ 25 mégots/1693561698450-image1693561473492.jpg,Mégots/~ 25 mégots
sorted_images/Plastique/Emballage plastique/1695540987902-image1695540984139.jpg,Plastique/Emballage plastique
sorted_images/Mégots/~ 50 mégots/1691337377175-image1691337368133.jpg,Mégots/~ 50 mégots
sorted_images/Plastique/Bouteille en plastique/1692521129824-user.jpg,Plastique/Bouteille en plastique
sorted_images/Plastique/Emballage plastique/1698499894144-image1698499860293.jpg,Plastique/Emballage plastique
sorted_images/Papier ou Carton/Ticket/1698226725113-image1698226745200.jpg,Papier ou Carton/Ticket
sorted_images/Métaux/Canette/1692699398633-image1692699435485.jpg,Métaux/Canette
sorted_images/Plastique/Gobelet en plastique/1689706713622-image1689706688140.jpg,Plastique/Gobelet en plastique
sorted_images/Plastique/Emballage plastique/1696056329619-image1696056338320.jpg,Plastique/Emballage plastique
sorted_images/Métaux/Canette/1695374899272-image1695374820937.jpg,Métaux/Canette
sorted_images/Métaux/Autre déchet métaux/1689936643735-user.jpg,Métaux/Autre déchet métaux
sorted_images/Plastique/Autre déchet plastique/1689687319977-image1689687320210.jpg,Plastique/Autre déchet plastique
sorted_images/Métaux/Canette/1694330785240-user.jpg,Métaux/Canette
sorted_images/Mégots/~ 25 mégots/1694326259927-image1694325735668.jpg,Mégots/~ 25 mégots
sorted_images/Verre/< 10 morceaux de verre/1696522210135-image1696522194822.jpg,Verre/< 10 morceaux de verre
sorted_images/Plastique/Bouteille en plastique/1694366411873-user.jpg,Plastique/Bouteille en plastique
sorted_images/Métaux/Autre déchet métaux/1690294060347-image1690294079440.jpg,Métaux/Autre déchet métaux
sorted_images/Plastique/Bouteille en plastique/1690791051189-image1690791056512.jpg,Plastique/Bouteille en plastique
sorted_images/Papier ou Carton/Récipient liquide/1694873246973-user.jpg,Papier ou Carton/Récipient liquide
sorted_images/Papier ou Carton/Carton/1690994168580-image1690994179642.jpg,Papier ou Carton/Carton
sorted_images/Papier ou Carton/Carton/1690482135417-user.jpg,Papier ou Carton/Carton
sorted_images/Textile/Vêtement/1691916260626-image1691916283400.jpg,Textile/Vêtement
sorted_images/Papier ou Carton/Sac en papier/1690102494618-image1690102499455.jpg,Papier ou Carton/Sac en papier
sorted_images/Métaux/Canette/1698496991316-user.jpg,Métaux/Canette
sorted_images/Plastique/Sac en plastique/1690998583042-image1690998592536.jpg,Plastique/Sac en plastique
sorted_images/Verre/Autre déchet verre/1695380021871-user.jpg,Verre/Autre déchet verre
sorted_images/Papier ou Carton/Autre déchet papier/carton/1696234086179-user.jpg,Autre déchet papier/carton
sorted_images/Plastique/Autre déchet plastique/1689670507257-image1689670209133.jpg,Plastique/Autre déchet plastique
